Title,Release Year,Duration,Director,Main Cast,Genres,Streaming Availability
Andrei Rublev,1966,205 min.,Andrei Tarkovsky,"Anatoli Solonitsyn, Ivan Lapikov, Nikolai Grinko","Based-on-a-True-Story, Biopic, Epic",
The Kid,1921,68 min.,Charles Chaplin,"Charles Chaplin, Jackie Coogan","Drama, Silent Film",
The Graduate,1967,105 min.,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross","Comedy Drama, Comedy of Manners, Coming-of-Age",
The Great Escape,1963,172 min.,John Sturges,"Steve McQueen, Richard Attenborough, Charles Bronson","Adventure, Based-on-20th-Century-Literature, Based-on-a-True-Story",
City of God,2002,130 min.,"Fernando Meirelles, Kátia Lund","Leandro Firmino da Hora, Matheus Nachtergaele, Seu Jorge","Based-on-20th-Century-Literature, Coming-of-Age, Crime Drama",
The Hidden Fortress,1958,139 min.,Akira Kurosawa,"Toshirô Mifune, Minoru Chiaki, Kamatari Fujiwara","Adventure, Costume Adventure, Foreign Language Film",
Willy Wonka & the Chocolate Factory,1971,100 min.,Mel Stuart,"Jack Albertson, Julie Dawn Cole, Gene Wilder","Adventure, Based-on-20th-Century-Literature, Coming-of-Age",
The King of Comedy,1982,109 min.,Martin Scorsese,"Robert De Niro, Jerry Lewis, Diahnne Abbott","Black Comedy, New Hollywood, Showbiz Comedy",
The Battle of Algiers,1966,121 min.,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi","Docudrama, Drama, Foreign Language Film",
Metropolis,1927,153 min.,Fritz Lang,"Alfred Abel, Heinrich George, Fritz Alberti","Cyberpunk / Tech Noir, Cyborg / Android / Robot, Dystopian Film",
Breathless,1960,90 min.,Jean-Luc Godard,"Jean-Paul Belmondo, Jean Seberg","Crime Drama, Crime, Drama",
E.T.: The Extra-Terrestrial,1982,115 min.,Steven Spielberg,"Dee Wallace, Henry Thomas, Peter Coyote","Adventure Drama, Adventure, Drama",
The Life and Death of Colonel Blimp,1943,163 min.,"Michael Powell, Emeric Pressburger","Roger Livesey, Deborah Kerr, Anton Walbrook","Costume Romance, Drama, Period Film",
The Long Goodbye,1973,112 min.,Robert Altman,"Elliott Gould, Nina Van Pallandt, Henry Gibson","Based-on-20th-Century-Literature, Crime Thriller, Crime",
Django Unchained,2012,165 min.,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","Drama, Revenge Film, Revisionist Western",
The Shop Around the Corner,1940,99 min.,Ernst Lubitsch,"Margaret Sullavan, James Stewart, Frank Morgan","Comedy, Drama, Romance",
WALL·E,2008,98 min.,Andrew Stanton,"Fred Willard, Jeff Garlin, Ben Burtt","Adventure Comedy, Animation, Comedy",
To Kill a Mockingbird,1962,129 min.,Robert Mulligan,"Gregory Peck, Mary Badham, Phillip Alford","Based-on-20th-Century-Literature, Childhood Drama, Courtroom Drama",
Scarface,1983,170 min.,Brian De Palma,"Al Pacino, Mary Elizabeth Mastrantonio, Michelle Pfeiffer","Crime Drama, Crime Thriller, Crime",
The Hustler,1961,134 min.,Robert Rossen,"Paul Newman, Jackie Gleason, Piper Laurie","Addiction Drama, Con Artist / Hustler, Drama",
Dial M for Murder,1954,105 min.,Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings","Based-on-Theatre, Crime Thriller, Crime",
12 Monkeys,1995,129 min.,Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt","Cyberpunk / Tech Noir, Dystopian Film, Mindbender",
The Wild Bunch,1969,145 min.,Sam Peckinpah,"William Holden, Robert Ryan, Edmond O'Brien","Action, New Hollywood, Outlaw",
Ugetsu,1953,94 min.,Kenji Mizoguchi,"Masayuki Mori, Machiko Kyô, Kinuyo Tanaka","Costume Romance, Drama, Fantasy",
American Beauty,1999,122 min.,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch","Comedy Drama, Coming-of-Age, Drama",
The Lady Vanishes,1938,97 min.,Alfred Hitchcock,"Margaret Lockwood, Michael Redgrave, Paul Lukas","Based-on-20th-Century-Literature, Comedy Thriller, Comedy",
The Incredibles,2004,115 min.,Brad Bird,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson","Action Comedy, Action, Adventure",
Braveheart,1995,177 min.,Mel Gibson,"Mel Gibson, Patrick McGoohan, Angus MacFadyen","Adventure Drama, Adventure, Based-on-a-True-Story",
The French Connection,1971,104 min.,William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider","Action Thriller, Action, Based-on-20th-Century-Literature",
Bride of Frankenstein,1935,75 min.,James Whale,"Boris Karloff, Elsa Lanchester, Colin Clive","Based-on-19th-Century-Literature, Gothic Film, Horror",
Army of Shadows,1969,145 min.,Jean-Pierre Melville,"Lino Ventura, Jean-Pierre Cassel, Simone Signoret","Drama, Foreign Language Film, French New Wave",
The Bridge on the River Kwai,1957,161 min.,David Lean,"William Holden, Jack Hawkins, Sessue Hayakawa","Based-on-20th-Century-Literature, Drama, Ensemble Film",
Young Frankenstein,1974,106 min.,Mel Brooks,"Gene Wilder, Peter Boyle, Marty Feldman","Comedy, Horror Comedy, Parody/Spoof",
Grave of the Fireflies,1988,89 min.,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara","Animation, Anime, Drama",
Black Narcissus,1947,100 min.,"Michael Powell, Emeric Pressburger","Deborah Kerr, Flora Robson, Jean Simmons","Based-on-20th-Century-Literature, Drama, Melodrama",
Miller's Crossing,1990,120 min.,Joel & Ethan Coen,"Gabriel Byrne, Albert Finney, John Turturro","Crime Drama, Crime Thriller, Crime",
Mad Max: Fury Road,2015,120 min.,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult","Action Thriller, Action, Carsploitation",
Woman in the Dunes,1964,123 min.,Hiroshi Teshigahara,"Eiji Okada, Kyoko Kishida, Hiroko Ito","Avant-garde / Experimental, Based-on-20th-Century-Literature, Drama",
My Man Godfrey,1936,94 min.,Gregory La Cava,"William Powell, Carole Lombard, Alice Brady","Comedy of Manners, Comedy, Romance",
Airplane!,1980,88 min.,"Jim Abrahams, David Zucker, Jerry Zucker","Robert Hays, Julie Hagerty, Peter Graves","Absurd Comedy, Comedy, Ensemble Film",
Sanjuro,1962,96 min.,Akira Kurosawa,"Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi","Action, Adventure, Costume Adventure",
Life of Brian,1979,94 min.,Terry Jones,"Graham Chapman, John Cleese, Eric Idle","Absurd Comedy, Based-on-Television, Comedy",
Barry Lyndon,1975,184 min.,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee","Based-on-19th-Century-Literature, Drama, Period Film",
High Noon,1952,85 min.,Fred Zinnemann,"Gary Cooper, Grace Kelly, Thomas Mitchell",Western,
The Goonies,1985,114 min.,Richard Donner,"Sean Astin, Josh Brolin, Jeff Cohen","Adventure Comedy, Adventure, Comedy",
Finding Nemo,2003,100 min.,Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould","Adventure, Adventure Comedy, Animation",
Nausicaä of the Valley of the Wind,1984,117 min.,Hayao Miyazaki,"Sumi Shimamoto, Ichirô Nagai, Mahito Tsujimura","Adventure, Animation, Anime",
Singin' in the Rain,1952,103 min.,"Stanley Donen, Gene Kelly","Gene Kelly, Donald O'Connor, Debbie Reynolds","Comedy, Jukebox Musical, Musical Comedy",
The Sixth Sense,1999,107 min.,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette","Childhood Drama, Drama, Ghost Film",
Who's Afraid of Virginia Woolf?,1966,131 min.,Mike Nichols,"Elizabeth Taylor, Richard Burton, George Segal","Based-on-Theatre, Drama, Marriage Drama",
Spirited Away,2001,125 min.,Hayao Miyazaki,"Rumi Hîragi, Miyu Irino, Mari Natsuki","Adventure, Animation, Anime",
A Face in the Crowd,1957,125 min.,Elia Kazan,"Andy Griffith, Anthony Franciosa, Patricia Neal","Drama, Media Satire, Satire",
Manhattan,1979,96 min.,Woody Allen,"Woody Allen, Diane Keaton, Michael Murphy","Comedy Drama, Comedy of Manners, Drama",
Predator,1987,107 min.,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo","Action, Alien Invasion Films, Horror",
Kill Bill Vol. 2,2004,136 min.,Quentin Tarantino,"Uma Thurman, Michael Madsen, Gordon Liu","Action Thriller, Action, Feminist Film",
Oldboy,2003,120 min.,Chan-wook Park,"Dal-su Oh, Min-sik Choi, Ji-tae Yu","Based-on-Comics, Based-on-Manga, Drama",
White Heat,1949,114 min.,Raoul Walsh,"James Cagney, Virginia Mayo, Edmond O'Brien","Crime Thriller, Crime, Film Noir",
The Bourne Identity,2002,119 min.,Doug Liman,"Matt Damon, Franka Potente, Chris Cooper","Action Thriller, Action, Based-on-20th-Century-Literature",
Paper Moon,1973,102 min.,Peter Bogdanovich,"Ryan O'Neal, John Hillerman, Randy Quaid","Comedy Drama, Con Artist / Hustler, New Hollywood",
The Green Mile,1999,188 min.,Frank Darabont,"Tom Hanks, David Morse, James Cromwell","Based-on-20th-Century-Literature, Drama, Fantasy",
A Man Escaped,1956,99 min.,Robert Bresson,"François Leterrier, Charles Le Clainche, Maurice Beerblock","Docudrama, Drama, Escape Film",
The Avengers,2012,142 min.,Joss Whedon,"Robert Downey Jr., Chris Evans, Chris Hemsworth","Action, Adventure, Alien Invasion Films",
Children of Men,2006,109 min.,Alfonso Cuarón,"Clive Owen, Julianne Moore, Michael Caine","Action Thriller, Action, Adventure Drama",
The Truman Show,1998,103 min.,Peter Weir,"Jim Carrey, Laura Linney, Noah Emmerich","Comedy Drama, Drama, Media Satire",
Pan's Labyrinth,2006,119 min.,Guillermo del Toro,"Ivana Baquero, Sergi López, Maribel Verdú","Drama, Fairy Tales and Legends, Fantasy",
Ocean's Eleven,2001,116 min.,Steven Soderbergh,"George Clooney, Matt Damon, Andy Garcia","Caper, Comedy, Crime Comedy",
Stagecoach,1939,96 min.,John Ford,"John Wayne, Claire Trevor, Thomas Mitchell","Action, Adventure Drama, Adventure",
Some Like It Hot,1959,120 min.,Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon","Comedy of Errors, Comedy, Cross-Dressing / Gender-Bending",
The Untouchables,1987,119 min.,Brian De Palma,"Kevin Costner, Robert De Niro, Charles Martin Smith","Crime Thriller, Crime, Gangster Film",
Late Spring,1949,108 min.,Yasujirô Ozu,"Setsuko Hara, Haruko Sugimura, Chishu Ryu","Drama, Family Drama, Foreign Language Film",
Heat,1995,188 min.,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer","Action Thriller, Action, Caper",
"O Brother, Where Art Thou?",2000,107 min.,Joel & Ethan Coen,"George Clooney, John Turturro, Tim Blake Nelson","Americana, Buddy Film, Comedy",
Roman Holiday,1953,118 min.,William Wyler,"Audrey Hepburn, Gregory Peck, Eddie Albert","Comedy, Romance, Romantic Comedy",
There Will Be Blood,2007,158 min.,Paul Thomas Anderson,"Daniel Day-Lewis, Colleen Foy, Russell Harvard","Based-on-20th-Century-Literature, Drama, Family Drama",
Rain Man,1988,133 min.,Barry Levinson,"Dustin Hoffman, Tom Cruise, Valeria Golino","Drama, Family Drama, Melodrama",
The Exorcist,1973,122 min.,William Friedkin,"Ellen Burstyn, Max von Sydow, Mercedes McCambridge","Based-on-20th-Century-Literature, Drama, Horror",
Arsenic and Old Lace,1944,118 min.,Frank Capra,"Priscilla Lane, Josephine Hull, Jean Adair","Based-on-Theatre, Black Comedy, Crime Comedy",
The Magnificent Seven,1960,128 min.,John Sturges,"Yul Brynner, Steve McQueen, Horst Buchholz","Buddy Film, Ensemble Film, Western",
Sansho the Bailiff,1954,124 min.,Kenji Mizoguchi,"Kyoko Kagawa, Kinuyo Tanaka, Yoshiaki Hanayagi","Drama, Foreign Language Film, Period Film",
The Deer Hunter,1978,182 min.,Michael Cimino,"Robert De Niro, Christopher Walken, Meryl Streep","Anti-War Film, Drama, Ensemble Film",
The Last Picture Show,1971,118 min.,Peter Bogdanovich,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd","Americana, Coming-of-Age, Drama",
Trainspotting,1996,94 min.,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller","Addiction Drama, Buddy Film, Comedy Drama",
Blazing Saddles,1974,93 min.,Mel Brooks,"Cleavon Little, Gene Wilder, Slim Pickens","Comedy Western, Comedy, Odd Couple Film",
Snatch.,2000,102 min.,Guy Ritchie,"Benicio Del Toro, Dennis Farina, Vinnie Jones","Black Comedy, Caper, Crime Comedy",
Batman,1989,126 min.,Tim Burton,"Michael Keaton, Jack Nicholson, Kim Basinger","Action, Based-on-Comics, Crime Thriller",
The Blues Brothers,1980,148 min.,John Landis,"John Belushi, Dan Aykroyd, John Candy","Absurd Comedy, Action Comedy, Adventure Comedy",
The Fugitive,1993,130 min.,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward","Action Thriller, Action, Based-on-Television",
The Umbrellas of Cherbourg,1964,91 min.,Jacques Demy,"Catherine Deneuve, Marc Michel, Anne Vernon","Drama, Foreign Language Film, French New Wave",
"Monsters, Inc.",2001,92 min.,Pete Docter,"Billy Crystal, John Goodman, James Coburn","Animation, Comedy, Family-Oriented Comedy",
Suspiria,1977,98 min.,Dario Argento,"Jessica Harper, Stefania Casini, Flavio Bucci","Fantasy, Gothic Film, Horror",
Le Cercle Rouge,1970,140 min.,Jean-Pierre Melville,"François Perier, Gian Maria Volontè, Alain Delon","Caper, Crime Thriller, Crime",
Nights of Cabiria,1957,117 min.,Federico Fellini,"Giulietta Masina, François Perier, Franca Marzi","Drama, Foreign Language Film, Italian Neorealism",
L.A. Confidential,1997,138 min.,Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce","Based-on-20th-Century-Literature, Crime Drama, Crime",
The Innocents,1961,100 min.,Jack Clayton,"Deborah Kerr, Megs Jenkins, Martin Stephens","Based-on-19th-Century-Literature, British New Wave, Ghost Film",
The Virgin Spring,1960,89 min.,Ingmar Bergman,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom","Crime Drama, Crime, Drama",
Catch Me If You Can,2002,141 min.,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken","Based-on-20th-Century-Literature, Based-on-a-True-Story, Biopic",
Guardians of the Galaxy,2014,122 min.,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista","Action, Adventure, Based-on-Comics",
McCabe & Mrs. Miller,1971,120 min.,Robert Altman,"Warren Beatty, Julie Christie, René Auberjonois","Based-on-20th-Century-Literature, Drama, New Hollywood",
Bonnie and Clyde,1967,112 min.,Arthur Penn,"Warren Beatty, Faye Dunaway, Michael J. Pollard","Drama, Based-on-a-True-Story, Biopic",
The Fifth Element,1997,126 min.,Luc Besson,"Bruce Willis, Milla Jovovich, Ian Holm","Action, Adventure, Science Fiction",
The Exterminating Angel,1962,95 min.,Luis Buñuel,"Silvia Pinal, Enrique Rambal, Claudio Brook","Comedy Drama, Comedy of Manners, Drama",
A Night at the Opera,1935,91 min.,Sam Wood,"Groucho Marx, Chico Marx, Harpo Marx","Absurd Comedy, Comedy, Farce",
Solaris,1972,169 min.,Andrei Tarkovsky,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet","Adventure Drama, Adventure, Based-on-20th-Century-Literature",
Blow Out,1981,108 min.,Brian De Palma,"John Travolta, Nancy Allen, John Lithgow","New Hollywood, Paranoid Thriller, Political Thriller",
Toy Story 2,1999,92 min.,John Lasseter,"Tom Hanks, Tim Allen, Joan Cusack","Adventure, Animation, Comedy",
Wings of Desire,1987,128 min.,Wim Wenders,"Bruno Ganz, Solveig Dommartin, Otto Sander","Fantasy, Foreign Language Film, Magic Realism",
Brazil,1985,94 min.,Terry Gilliam,"Jonathan Pryce, Robert De Niro, Katherine Helmond","Black Comedy, Dystopian Film, Mindbender",
The 39 Steps,1935,86 min.,Alfred Hitchcock,"Robert Donat, Madeleine Carroll, Lucie Mannheim","Based-on-20th-Century-Literature, Chase Movie, Escape Film",
Fitzcarraldo,1982,158 min.,Werner Herzog,"Klaus Kinski, Claudia Cardinale, Jose Lewgoy","Adventure Drama, Adventure, Drama",
Repulsion,1965,105 min.,Roman Polanski,"Catherine Deneuve, Ian Hendry, John Fraser","Horror, Psychological Horror, Psychological Thriller",
Safety Last!,1923,70 min.,"Fred C. Newmeyer, Sam Taylor","Harold Lloyd, Mildred Davis, Bill Strother","Adventure Comedy, Adventure, Comedy of Errors",
Do the Right Thing,1989,120 min.,Spike Lee,"Spike Lee, Rosie Perez, Giancarlo Esposito","Drama, Ensemble Film, Hyperlink Film",
This Is Spinal Tap,1984,82 min.,Rob Reiner,"Rob Reiner, Michael McKean, Christopher Guest","Comedy, Mockumentary, Musical",
Platoon,1986,120 min.,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe","Action, Anti-War Film, Combat Films",
Winter Light,1963,81 min.,Ingmar Bergman,"Gunnar Björnstrand, Max von Sydow, Allan Edwall","Drama, Foreign Language Film, Psychological Drama",
Avengers: Infinity War,2018,156 min.,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Chris Hemsworth","Action, Adventure, Alien Invasion Films",
Let the Right One In,2008,115 min.,Tomas Alfredson,"Kåre Hedebrant, Lina Leandersson, Per Ragnar","Based-on-21st-Century-Literature, Childhood Drama, Coming-of-Age",
Children of Paradise,1945,190 min.,Marcel Carné,"Pierre Renoir, Pierre Brasseur, Arletty","Costume Romance, Drama, Foreign Language Film",
Castle in the Sky,1986,124 min.,Hayao Miyazaki,"Keiko Yokozawa, Mayumi Tanaka, Kotoe Hatsui","Adventure, Animation, Anime",
Harold and Maude,1971,91 min.,Hal Ashby,"Ruth Gordon, Bud Cort, Vivian Pickles","Black Comedy, Coming-of-Age, New Hollywood",
Nashville,1975,159 min.,Robert Altman,"Ned Beatty, Ronee Blakley, Keith Carradine","Americana, Drama, Ensemble Film",
Hot Fuzz,2007,121 min.,Edgar Wright,"Simon Pegg, Nick Frost, Timothy Dalton","Action Comedy, Action, Comedy",
Mean Streets,1973,112 min.,Martin Scorsese,"Robert De Niro, Harvey Keitel, David Proval","Coming-of-Age, Crime Drama, Crime",
Being There,1979,130 min.,Hal Ashby,"Peter Sellers, Shirley MacLaine, Melvyn Douglas","Comedy Drama, Drama, New Hollywood",
The Lady Eve,1941,94 min.,Preston Sturges,"Barbara Stanwyck, Henry Fonda, Charles Coburn","Comedy, Con Artist / Hustler, Romance",
Frankenstein,1931,71 min.,James Whale,"Colin Clive, Mae Clarke, John Boles","Based-on-19th-Century-Literature, Gothic Film, Horror",
The Social Network,2010,120 min.,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake","Based-on-21st-Century-Literature, Based-on-a-True-Story, Biopic",
Amadeus,1984,160 min.,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge","Based-on-a-True-Story, Based-on-Theatre, Biopic",
Crimes and Misdemeanors,1989,104 min.,Woody Allen,"Martin Landau, Mia Farrow, Anjelica Huston","Comedy Drama, Drama, Ensemble Film",
Aladdin,1992,90 min.,"Ron Clements, John Musker","Scott Weinger, Jonathan Freeman, Robin Williams","Adventure, Animated Musical, Animation",
Rosemary's Baby,1968,136 min.,Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon","Based-on-20th-Century-Literature, Horror, New Hollywood",
Casino Royale,2006,144 min.,Martin Campbell,"Eva Green, Mads Mikkelsen, Daniel Craig","Action Thriller, Action, Based-on-20th-Century-Literature",
Before Sunrise,1995,105 min.,Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert","Comedy Drama, Romance, Romantic Drama",
Amélie,2001,122 min.,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus","Comedy, Foreign Language Film, Magic Realism",
In the Heat of the Night,1967,109 min.,Norman Jewison,"Sidney Poitier, Rod Steiger, Warren Oates","Crime Drama, Crime, Drama",
The Mirror,1975,106 min.,Andrei Tarkovsky,"Margarita Terekhova, Oleg Yankovskiy, Filipp Yankovsky","Avant-garde / Experimental, Based-on-a-True-Story, Biopic",
Key Largo,1948,100 min.,John Huston,"Lauren Bacall, Lionel Barrymore, Claire Trevor","Crime Thriller, Crime, Film Noir",
Three Colors: Red,1994,99 min.,Krzysztof Kieslowski,"Zbigniew Zamachowski, Irène Jacob, Jean-Louis Trintignant","Drama, Foreign Language Film, Psychological Drama",
La Strada,1954,108 min.,Federico Fellini,"Giulietta Masina, Richard Basehart, Al Silvani","Drama, Foreign Language Film, Italian Neorealism",
Harvey,1950,104 min.,Henry Koster,"James Stewart, Josephine Hull, Peggy Dow","Based-on-Theatre, Comedy, Comedy of Manners",
Close Encounters of the Third Kind,1977,135 min.,Steven Spielberg,"Richard Dreyfuss, François Truffaut, Teri Garr","Adventure Drama, Adventure, Drama",
Blade Runner 2049,2017,163 min.,Denis Villeneuve,"Ryan Gosling, Harrison Ford, Jared Leto","Cyberpunk / Tech Noir, Cyborg / Android / Robot, Dystopian Film",
Playtime,1967,155 min.,Jacques Tati,"Jacques Tati, Barbara Dennek, Rita Maiden","Comedy, Foreign Language Film, Satire",
Star Trek,2009,127 min.,J.J. Abrams,"Chris Pine, Zachary Quinto, Leonard Nimoy","Action, Adventure, Based-on-Television",
Stop Making Sense,1984,88 min.,Jonathan Demme,"Alex Weir, Steve Scales, David Byrne","Concert Film, Documentary, Music",
Evil Dead II,1987,85 min.,Sam Raimi,"Bruce Campbell, Kassie Wesley, Lou Hancock","Black Comedy, Haunted House Film, Horror Comedy",
Star Trek II: The Wrath of Khan,1982,113 min.,Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley","Action, Action Thriller, Adventure",
The Grapes of Wrath,1940,129 min.,John Ford,"Henry Fonda, Jane Darwell, John Carradine","Americana, Based-on-20th-Century-Literature, Drama",
Interstellar,2014,169 min.,Christopher Nolan,"Matthew McConaughey, Wes Bentley, Anne Hathaway","Adventure, Cyborg / Android / Robot, Dystopian Film",
Drive,2011,95 min.,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston","Based-on-21st-Century-Literature, Chase Movie, Crime Thriller",
Donnie Darko,2001,113 min.,Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell","Comedy Drama, Coming-of-Age, Drama",
Peeping Tom,1960,101 min.,Michael Powell,"Karlheinz Böhm, Moira Shearer, Anna Massey","Crime Thriller, Crime, Psychological Thriller",
Red River,1948,133 min.,"Howard Hawks, Arthur Rosson","John Wayne, Montgomery Clift, Joanne Dru","Adventure, Epic, Western",
Clerks.,1994,92 min.,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti","Buddy Film, Comedy, Workplace Comedy",
Judgment at Nuremberg,1961,186 min.,Stanley Kramer,"Burt Lancaster, Richard Widmark, Spencer Tracy","Based-on-a-True-Story, Courtroom Drama, Drama",
Sorcerer,1977,121 min.,William Friedkin,"Roy Scheider, Bruno Cremer, Francisco Rabal","Adventure Drama, Adventure, Based-on-20th-Century-Literature",
Glengarry Glen Ross,1992,100 min.,James Foley,"Al Pacino, Jack Lemmon, Ed Harris","Based-on-Theatre, Drama, Ensemble Film",
The Adventures of Robin Hood,1938,102 min.,"Michael Curtiz, William Keighley","Errol Flynn, Basil Rathbone, Olivia de Havilland","Adventure, Costume Adventure, Fairy Tales and Legends",
The Taking of Pelham One Two Three,1974,104 min.,Joseph Sargent,"Walter Matthau, Hector Elizondo, Earl Hindman","Action Thriller, Action, Crime Thriller",
Eyes Without a Face,1960,88 min.,Georges Franju,"Pierre Brasseur, Alida Valli, Edith Scob","Body Horror, Drama, Foreign Language Film",
Edward Scissorhands,1990,105 min.,Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest","Comedy Drama, Drama, Fantasy",
The Holy Mountain,1973,114 min.,Alejandro Jodorowsky,"Alejandro Jodorowsky, Horacio Salinas, Zamira Saunders","Adventure, Avant-garde / Experimental, Media Satire",
Blood Simple,1984,99 min.,Joel & Ethan Coen,"John Getz, Frances McDormand, Dan Hedaya","Crime Thriller, Crime, Post-Noir",
Casino,1995,178 min.,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci","Based-on-20th-Century-Literature, Crime Drama, Crime",
Spider-Man: Into the Spider-Verse,2018,117 min.,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld","Action Comedy, Action, Adventure Comedy",
Nosferatu,1922,81 min.,F.W. Murnau,"Max Schreck, Gustav von Wangenheim, Greta Schröder","Based-on-19th-Century-Literature, Costume Horror, Foreign Language Film",
Beetlejuice,1988,92 min.,Tim Burton,"Geena Davis, Catherine O'Hara, Alec Baldwin","Black Comedy, Comedy, Fantasy Comedy",
Hannah and Her Sisters,1986,103 min.,Woody Allen,"Mia Farrow, Dianne Wiest, Michael Caine","Comedy Drama, Ensemble Film, Hyperlink Film",
Rebel Without a Cause,1955,111 min.,Nicholas Ray,"James Dean, Natalie Wood, Sal Mineo","Coming-of-Age, Drama, Family Drama",
A Woman Under the Influence,1974,155 min.,John Cassavetes,"Peter Falk, Gena Rowlands, Fred Draper","Drama, Marriage Drama, New Hollywood",
Dead Poets Society,1989,128 min.,Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke","Coming-of-Age, Drama, Ensemble Film",
Top Hat,1935,101 min.,Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton","Comedy, Musical Comedy, Musical Romance",
Up,2009,96 min.,"Pete Docter, Bob Peterson","Bob Peterson, Delroy Lindo, Edward Asner","Adventure Comedy, Adventure, Animation",
The Grand Budapest Hotel,2014,99 min.,Wes Anderson,"Tony Revolori, Saoirse Ronan, Ralph Fiennes","Adventure Comedy, Adventure, Buddy Film",
American Psycho,2000,101 min.,Mary Harron,"Christian Bale, Jared Leto, Reese Witherspoon","Based-on-20th-Century-Literature, Black Comedy, Comedy Thriller",
Princess Mononoke,1997,134 min.,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka","Adventure, Animation, Anime",
Gaslight,1944,114 min.,George Cukor,"Charles Boyer, Ingrid Bergman, Joseph Cotten","Based-on-Theatre, Film Noir, Period Film",
La Haine,1995,96 min.,Mathieu Kassovitz,"Vincent Cassel, Hubert Kounde, Saïd Taghmaoui","Crime Drama, Crime, Drama",
Three Colors: Blue,1993,98 min.,Krzysztof Kieslowski,"Juliette Binoche, Benoit Regent, Florence Pernel","Drama, Foreign Language Film, Psychological Drama",
The Big Heat,1953,89 min.,Fritz Lang,"Alexander Scourby, Lee Marvin, Glenn Ford","Crime Drama, Crime Thriller, Crime",
An American Werewolf in London,1981,97 min.,John Landis,"Jenny Agutter, John Woodvine, Griffin Dunne","Black Comedy, Body Horror, Horror Comedy",
Barton Fink,1991,116 min.,Joel & Ethan Coen,"John Turturro, Michael Lerner, Tony Shalhoub","Black Comedy, Comedy Drama, Drama",
The Manchurian Candidate,1962,126 min.,John Frankenheimer,"Frank Sinatra, Laurence Harvey, Janet Leigh","Hitman / Assassin Film, Paranoid Thriller, Political Thriller",
Kind Hearts and Coronets,1949,106 min.,Robert Hamer,"Valerie Hobson, Alec Guinness, Joan Greenwood","Black Comedy, Crime, Crime Comedy",
The Outlaw Josey Wales,1976,135 min.,Clint Eastwood,"Clint Eastwood, Chief Dan George, Sondra Locke","Based-on-20th-Century-Literature, Outlaw, Revenge Film",
Trouble in Paradise,1932,83 min.,Ernst Lubitsch,"Miriam Hopkins, Kay Francis, Herbert Marshall","Based-on-Theatre, Comedy, Con Artist / Hustler",
Umberto D.,1952,89 min.,Vittorio De Sica,"Carlo Battisti, Maria-Pia Casilio, Lina Gennari","Drama, Foreign Language Film, Italian Neorealism",
