Title,Release Year,Duration,Director,Main Cast,Genres,Streaming Availability
The Philadelphia Story,1940,112 min.,George Cukor,"Cary Grant, Katharine Hepburn, James Stewart",,
Sweet Smell of Success,1957,96 min.,Alexander Mackendrick,"Burt Lancaster, Tony Curtis, Susan Harrison",,
The Man Who Shot Liberty Valance,1962,123 min.,John Ford,"John Wayne, James Stewart, Vera Miles",,
The Conversation,1974,113 min.,Francis Ford Coppola,"Gene Hackman, John Cazale, Allen Garfield",,
All About Eve,1950,138 min.,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders",,
A Matter of Life and Death,1946,104 min.,"Michael Powell, Emeric Pressburger","David Niven, Kim Hunter, Roger Livesey",,
Cool Hand Luke,1967,126 min.,Stuart Rosenberg,"Paul Newman, George Kennedy, Strother Martin",,
Groundhog Day,1993,101 min.,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott",,
Raging Bull,1980,129 min.,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci",,
The Rules of the Game,1939,110 min.,Jean Renoir,"Nora Gregor, Paulette Dubost, Mila Parely",,
Shadow of a Doubt,1943,108 min.,Alfred Hitchcock,"Teresa Wright, Joseph Cotten, MacDonald Carey",,
His Girl Friday,1940,92 min.,Howard Hawks,"Cary Grant, Rosalind Russell, Ralph Bellamy",,
Good Will Hunting,1997,126 min.,Gus Van Sant,"Matt Damon, Robin Williams, Ben Affleck",,
Out of the Past,1947,97 min.,Jacques Tourneur,"Robert Mitchum, Jane Greer, Kirk Douglas",,
Badlands,1973,95 min.,Terrence Malick,"Sissy Spacek, Martin Sheen, Gary Littlejohn",,
Sherlock Jr.,1924,45 min.,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton",,
Whiplash,2014,106 min.,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser",,
La Dolce Vita,1960,180 min.,Federico Fellini,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée",,
The Maltese Falcon,1941,100 min.,John Huston,"Humphrey Bogart, Mary Astor, Gladys George",,
The Big Sleep,1946,114 min.,Howard Hawks,"Lauren Bacall, John Ridgely, Humphrey Bogart",,
Shaun of the Dead,2004,99 min.,Edgar Wright,"Simon Pegg, Nick Frost, Kate Ashfield",,
The Thing,1982,109 min.,John Carpenter,"Kurt Russell, Wilford Brimley, T.K. Carter",,
Kill Bill Vol. 1,2003,111 min.,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox",,
Aguirre: The Wrath of God,1972,93 min.,Werner Herzog,"Klaus Kinski, Helena Rojo, Del Negro",,
No Country for Old Men,2007,122 min.,Joel & Ethan Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin",,
The Lion King,1994,89 min.,"Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones",,
In the Mood for Love,2000,98 min.,Wong Kar-Wai,"Tony Leung Chiu Wai, Maggie Cheung, Ping Lam Siu",,
The Great Dictator,1940,125 min.,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Reginald Gardiner",,
The Gold Rush,1925,96 min.,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray",,
Gladiator,2000,155 min.,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",,
Diabolique,1955,116 min.,Henri-Georges Clouzot,"Simone Signoret, Vera Clouzot, Paul Meurisse",,
Stand by Me,1986,89 min.,Rob Reiner,"River Phoenix, Corey Feldman, Richard Dreyfuss",,
Parasite,2019,132 min.,Bong Joon Ho,"Kang-ho Song, Yeo-jeong Jo, So-dam Park",,
Rope,1948,80 min.,Alfred Hitchcock,"James Stewart, John Dall, Farley Granger",,
Memories of Murder,2003,130 min.,Bong Joon Ho,"Kang-ho Song, Sang-kyung Kim, Roe-ha Kim",,
The Searchers,1956,119 min.,John Ford,"John Wayne, Jeffery Hunter, Vera Miles",,
My Neighbor Totoro,1988,86 min.,Hayao Miyazaki,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi",,
Anatomy of a Murder,1959,160 min.,Otto Preminger,"James Stewart, Lee Remick, Eve Arden",,
Eternal Sunshine of the Spotless Mind,2004,108 min.,Michel Gondry,"Jim Carrey, Kate Winslet, Elijah Wood",,
The Breakfast Club,1985,97 min.,John Hughes,"Emilio Estevez, Molly Ringwald, Anthony Michael Hall",,
The Thin Man,1934,91 min.,W.S. Van Dyke,"William Powell, Nat Pendleton, Minna Gombell",,
American History X,1998,119 min.,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo",,
Office Space,1999,89 min.,Mike Judge,"Stephen Root, Gary Cole, John C. McGinley",,
Days of Heaven,1978,94 min.,Terrence Malick,"Richard Gere, Brooke Adams, Sam Shepard",,
It's a Wonderful Life,1946,130 min.,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore",,
The Killing,1956,85 min.,Stanley Kubrick,"Sterling Hayden, Coleen Gray, Vince Edwards",,
Bringing Up Baby,1938,102 min.,Howard Hawks,"Katharine Hepburn, Cary Grant, Charles Ruggles",,
Fanny and Alexander,1982,188 min.,Ingmar Bergman,"Ewa Fröling, Gunn Wållgren, Jan Malmsjö",,
Sullivan's Travels,1941,90 min.,Preston Sturges,"Joel McCrea, Veronica Lake, Robert Warwick",,
Rififi,1955,122 min.,Jules Dassin,"Jean Servais, Carl Mohner, Robert Manuel",,
Butch Cassidy and the Sundance Kid,1969,110 min.,George Roy Hill,"Paul Newman, Robert Redford, Strother Martin",,
A Fistful of Dollars,1964,99 min.,Sergio Leone,"Clint Eastwood, Marianne Koch, Wolfgang Lukschy",,
Rio Bravo,1959,141 min.,Howard Hawks,"John Wayne, Angie Dickinson, Dean Martin",,
The Wizard of Oz,1939,101 min.,Victor Fleming,"Judy Garland, Frank Morgan, Ray Bolger",,
Unforgiven,1992,131 min.,Clint Eastwood,"Clint Eastwood, Gene Hackman, Frances Fisher",,
Once Upon a Time in the West,1968,165 min.,Sergio Leone,"Charles Bronson, Gabriele Ferzetti, Henry Fonda",,
Rebecca,1940,130 min.,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders",,
Brief Encounter,1945,86 min.,David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway",,
Laura,1944,88 min.,Otto Preminger,"Gene Tierney, Dana Andrews, Clifton Webb",,
Ran,1985,162 min.,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu",,
For a Few Dollars More,1965,132 min.,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Klaus Kinski",,
Iron Man,2008,126 min.,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Shaun Toub",,
The Best Years of Our Lives,1946,172 min.,William Wyler,"Fredric March, Dana Andrews, Harold Russell",,
Annie Hall,1977,93 min.,Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts",,
"Paris, Texas",1984,147 min.,Wim Wenders,"Harry Dean Stanton, Dean Stockwell, Nastassja Kinski",,
Stalag 17,1953,120 min.,Billy Wilder,"Robert Strauss, Harvey Lembeck, Otto Preminger",,
Mr. Smith Goes to Washington,1939,129 min.,Frank Capra,"James Stewart, Jean Arthur, Claude Rains",,
Duck Soup,1933,68 min.,Leo McCarey,"Harpo Marx, Groucho Marx, Chico Marx",,
Lawrence of Arabia,1962,227 min.,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn",,
To Be or Not to Be,1942,99 min.,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack",,
The Prestige,2006,130 min.,Christopher Nolan,"Hugh Jackman, Christian Bale, Michael Caine",,
The Sting,1973,129 min.,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw",,
Back to the Future Part II,1989,108 min.,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson",,
Charade,1963,113 min.,Stanley Donen,"James Coburn, Cary Grant, Audrey Hepburn",,
Chungking Express,1994,98 min.,Wong Kar-Wai,"Brigitte Lin, Tony Leung Chiu Wai, Faye Wong",,
Dog Day Afternoon,1975,125 min.,Sidney Lumet,"Al Pacino, John Cazale, Charles Durning",,
All the President's Men,1976,138 min.,Alan J. Pakula,"Jason Robards, Hal Holbrook, Jack Warden",,
Witness for the Prosecution,1957,116 min.,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton",,
Andrei Rublev,1966,205 min.,Andrei Tarkovsky,"Anatoli Solonitsyn, Ivan Lapikov, Nikolai Grinko",,
The Kid,1921,68 min.,Charles Chaplin,"Charles Chaplin, Jackie Coogan",,
The Graduate,1967,105 min.,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross",,
The Great Escape,1963,172 min.,John Sturges,"Steve McQueen, Richard Attenborough, Charles Bronson",,
City of God,2002,130 min.,"Fernando Meirelles, Kátia Lund","Leandro Firmino da Hora, Matheus Nachtergaele, Seu Jorge",,
The Hidden Fortress,1958,139 min.,Akira Kurosawa,"Toshirô Mifune, Minoru Chiaki, Kamatari Fujiwara",,
Willy Wonka & the Chocolate Factory,1971,100 min.,Mel Stuart,"Jack Albertson, Julie Dawn Cole, Gene Wilder",,
The King of Comedy,1982,109 min.,Martin Scorsese,"Robert De Niro, Jerry Lewis, Diahnne Abbott",,
The Battle of Algiers,1966,121 min.,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi",,
Metropolis,1927,153 min.,Fritz Lang,"Alfred Abel, Heinrich George, Fritz Alberti",,
Breathless,1960,90 min.,Jean-Luc Godard,"Jean-Paul Belmondo, Jean Seberg",,
E.T.: The Extra-Terrestrial,1982,115 min.,Steven Spielberg,"Dee Wallace, Henry Thomas, Peter Coyote",,
The Life and Death of Colonel Blimp,1943,163 min.,"Michael Powell, Emeric Pressburger","Roger Livesey, Deborah Kerr, Anton Walbrook",,
The Long Goodbye,1973,112 min.,Robert Altman,"Elliott Gould, Nina Van Pallandt, Henry Gibson",,
