Title,Release Year,Duration,Director,Main Cast,Genre 1,Genre 2
McCabe & Mrs. Miller,1971,120 min.,Robert Altman,Warren Beatty,Based-on-20th-Century-Literature,Drama
Bonnie and Clyde,1967,112 min.,Arthur Penn,Warren Beatty,Drama,Based-on-a-True-Story
The Fifth Element,1997,126 min.,Luc Besson,Bruce Willis,Action,Adventure
The Exterminating Angel,1962,95 min.,Luis Buñuel,Silvia Pinal,Comedy Drama,Comedy of Manners
A Night at the Opera,1935,91 min.,Sam Wood,Groucho Marx,Absurd Comedy,Comedy
Solaris,1972,169 min.,Andrei Tarkovsky,Natalya Bondarchuk,Adventure Drama,Adventure
Blow Out,1981,108 min.,Brian De Palma,John Travolta,New Hollywood,Paranoid Thriller
Toy Story 2,1999,92 min.,John Lasseter,Tom Hanks,Adventure,Animation
Wings of Desire,1987,128 min.,Wim Wenders,Bruno Ganz,Fantasy,Foreign Language Film
Brazil,1985,94 min.,Terry Gilliam,Jonathan Pryce,Black Comedy,Dystopian Film
The 39 Steps,1935,86 min.,Alfred Hitchcock,Robert Donat,Based-on-20th-Century-Literature,Chase Movie
Fitzcarraldo,1982,158 min.,Werner Herzog,Klaus Kinski,Adventure Drama,Adventure
Repulsion,1965,105 min.,Roman Polanski,Catherine Deneuve,Horror,Psychological Horror
Safety Last!,1923,70 min.,"Fred C. Newmeyer, Sam Taylor",Harold Lloyd,Adventure Comedy,Adventure
Do the Right Thing,1989,120 min.,Spike Lee,Spike Lee,Drama,Ensemble Film
This Is Spinal Tap,1984,82 min.,Rob Reiner,Rob Reiner,Comedy,Mockumentary
Platoon,1986,120 min.,Oliver Stone,Charlie Sheen,Action,Anti-War Film
Winter Light,1963,81 min.,Ingmar Bergman,Gunnar Björnstrand,Drama,Foreign Language Film
Avengers: Infinity War,2018,156 min.,"Anthony Russo, Joe Russo",Robert Downey Jr.,Action,Adventure
Let the Right One In,2008,115 min.,Tomas Alfredson,Kåre Hedebrant,Based-on-21st-Century-Literature,Childhood Drama
Children of Paradise,1945,190 min.,Marcel Carné,Pierre Renoir,Costume Romance,Drama
Castle in the Sky,1986,124 min.,Hayao Miyazaki,Keiko Yokozawa,Adventure,Animation
Harold and Maude,1971,91 min.,Hal Ashby,Ruth Gordon,Black Comedy,Coming-of-Age
Nashville,1975,159 min.,Robert Altman,Ned Beatty,Americana,Drama
Hot Fuzz,2007,121 min.,Edgar Wright,Simon Pegg,Action Comedy,Action
Mean Streets,1973,112 min.,Martin Scorsese,Robert De Niro,Coming-of-Age,Crime Drama
Being There,1979,130 min.,Hal Ashby,Peter Sellers,Comedy Drama,Drama
The Lady Eve,1941,94 min.,Preston Sturges,Barbara Stanwyck,Comedy,Con Artist / Hustler
Frankenstein,1931,71 min.,James Whale,Colin Clive,Based-on-19th-Century-Literature,Gothic Film
The Social Network,2010,120 min.,David Fincher,Jesse Eisenberg,Based-on-21st-Century-Literature,Based-on-a-True-Story
Amadeus,1984,160 min.,Milos Forman,F. Murray Abraham,Based-on-a-True-Story,Based-on-Theatre
Crimes and Misdemeanors,1989,104 min.,Woody Allen,Martin Landau,Comedy Drama,Drama
Aladdin,1992,90 min.,"Ron Clements, John Musker",Scott Weinger,Adventure,Animated Musical
Rosemary's Baby,1968,136 min.,Roman Polanski,Mia Farrow,Based-on-20th-Century-Literature,Horror
Casino Royale,2006,144 min.,Martin Campbell,Eva Green,Action Thriller,Action
Before Sunrise,1995,105 min.,Richard Linklater,Ethan Hawke,Comedy Drama,Romance
Amélie,2001,122 min.,Jean-Pierre Jeunet,Audrey Tautou,Comedy,Foreign Language Film
In the Heat of the Night,1967,109 min.,Norman Jewison,Sidney Poitier,Crime Drama,Crime
The Mirror,1975,106 min.,Andrei Tarkovsky,Margarita Terekhova,Avant-garde / Experimental,Based-on-a-True-Story
Key Largo,1948,100 min.,John Huston,Lauren Bacall,Crime Thriller,Crime
Three Colors: Red,1994,99 min.,Krzysztof Kieslowski,Zbigniew Zamachowski,Drama,Foreign Language Film
La Strada,1954,108 min.,Federico Fellini,Giulietta Masina,Drama,Foreign Language Film
Harvey,1950,104 min.,Henry Koster,James Stewart,Based-on-Theatre,Comedy
Close Encounters of the Third Kind,1977,135 min.,Steven Spielberg,Richard Dreyfuss,Adventure Drama,Adventure
Blade Runner 2049,2017,163 min.,Denis Villeneuve,Ryan Gosling,Cyberpunk / Tech Noir,Cyborg / Android / Robot
Playtime,1967,155 min.,Jacques Tati,Jacques Tati,Comedy,Foreign Language Film
Star Trek,2009,127 min.,J.J. Abrams,Chris Pine,Action,Adventure
Stop Making Sense,1984,88 min.,Jonathan Demme,Alex Weir,Concert Film,Documentary
Evil Dead II,1987,85 min.,Sam Raimi,Bruce Campbell,Black Comedy,Haunted House Film
Star Trek II: The Wrath of Khan,1982,113 min.,Nicholas Meyer,William Shatner,Action,Action Thriller
The Grapes of Wrath,1940,129 min.,John Ford,Henry Fonda,Americana,Based-on-20th-Century-Literature
Interstellar,2014,169 min.,Christopher Nolan,Matthew McConaughey,Adventure,Cyborg / Android / Robot
Drive,2011,95 min.,Nicolas Winding Refn,Ryan Gosling,Based-on-21st-Century-Literature,Chase Movie
Donnie Darko,2001,113 min.,Richard Kelly,Jake Gyllenhaal,Comedy Drama,Coming-of-Age
Peeping Tom,1960,101 min.,Michael Powell,Karlheinz Böhm,Crime Thriller,Crime
Red River,1948,133 min.,"Howard Hawks, Arthur Rosson",John Wayne,Adventure,Epic
Clerks.,1994,92 min.,Kevin Smith,Brian O'Halloran,Buddy Film,Comedy
Judgment at Nuremberg,1961,186 min.,Stanley Kramer,Burt Lancaster,Based-on-a-True-Story,Courtroom Drama
Sorcerer,1977,121 min.,William Friedkin,Roy Scheider,Adventure Drama,Adventure
Glengarry Glen Ross,1992,100 min.,James Foley,Al Pacino,Based-on-Theatre,Drama
The Adventures of Robin Hood,1938,102 min.,"Michael Curtiz, William Keighley",Errol Flynn,Adventure,Costume Adventure
The Taking of Pelham One Two Three,1974,104 min.,Joseph Sargent,Walter Matthau,Action Thriller,Action
Eyes Without a Face,1960,88 min.,Georges Franju,Pierre Brasseur,Body Horror,Drama
Edward Scissorhands,1990,105 min.,Tim Burton,Johnny Depp,Comedy Drama,Drama
The Holy Mountain,1973,114 min.,Alejandro Jodorowsky,Alejandro Jodorowsky,Adventure,Avant-garde / Experimental
Blood Simple,1984,99 min.,Joel & Ethan Coen,John Getz,Crime Thriller,Crime
Casino,1995,178 min.,Martin Scorsese,Robert De Niro,Based-on-20th-Century-Literature,Crime Drama
Spider-Man: Into the Spider-Verse,2018,117 min.,"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Action Comedy,Action
Nosferatu,1922,81 min.,F.W. Murnau,Max Schreck,Based-on-19th-Century-Literature,Costume Horror
Beetlejuice,1988,92 min.,Tim Burton,Geena Davis,Black Comedy,Comedy
Hannah and Her Sisters,1986,103 min.,Woody Allen,Mia Farrow,Comedy Drama,Ensemble Film
Rebel Without a Cause,1955,111 min.,Nicholas Ray,James Dean,Coming-of-Age,Drama
A Woman Under the Influence,1974,155 min.,John Cassavetes,Peter Falk,Drama,Marriage Drama
Dead Poets Society,1989,128 min.,Peter Weir,Robin Williams,Coming-of-Age,Drama
Top Hat,1935,101 min.,Mark Sandrich,Fred Astaire,Comedy,Musical Comedy
Up,2009,96 min.,"Pete Docter, Bob Peterson",Bob Peterson,Adventure Comedy,Adventure
The Grand Budapest Hotel,2014,99 min.,Wes Anderson,Tony Revolori,Adventure Comedy,Adventure
American Psycho,2000,101 min.,Mary Harron,Christian Bale,Based-on-20th-Century-Literature,Black Comedy
Princess Mononoke,1997,134 min.,Hayao Miyazaki,Yôji Matsuda,Adventure,Animation
Gaslight,1944,114 min.,George Cukor,Charles Boyer,Based-on-Theatre,Film Noir
La Haine,1995,96 min.,Mathieu Kassovitz,Vincent Cassel,Crime Drama,Crime
Three Colors: Blue,1993,98 min.,Krzysztof Kieslowski,Juliette Binoche,Drama,Foreign Language Film
The Big Heat,1953,89 min.,Fritz Lang,Alexander Scourby,Crime Drama,Crime Thriller
An American Werewolf in London,1981,97 min.,John Landis,Jenny Agutter,Black Comedy,Body Horror
Barton Fink,1991,116 min.,Joel & Ethan Coen,John Turturro,Black Comedy,Comedy Drama
The Manchurian Candidate,1962,126 min.,John Frankenheimer,Frank Sinatra,Hitman / Assassin Film,Paranoid Thriller
Kind Hearts and Coronets,1949,106 min.,Robert Hamer,Valerie Hobson,Black Comedy,Crime
The Outlaw Josey Wales,1976,135 min.,Clint Eastwood,Clint Eastwood,Based-on-20th-Century-Literature,Outlaw
Trouble in Paradise,1932,83 min.,Ernst Lubitsch,Miriam Hopkins,Based-on-Theatre,Comedy
Umberto D.,1952,89 min.,Vittorio De Sica,Carlo Battisti,Drama,Foreign Language Film
Army of Darkness,1992,81 min.,Sam Raimi,Bruce Campbell,Comedy,Fantasy
Her,2013,126 min.,Spike Jonze,Joaquin Phoenix,Comedy Drama,Drama
Apollo 13,1995,140 min.,Ron Howard,Tom Hanks,Adventure Drama,Adventure
Band of Brothers,2001,705 min.,"David Frankel,  Mikael Salomon, Tom Hanks, David Leland, Richard Loncraine, David Nutter, Phil Alden Robinson, Tony To",Scott Grimes,Action,Based-on-a-True-Story
Cries and Whispers,1972,91 min.,Ingmar Bergman,Kari Sylwan,Drama,Ensemble Film
A Streetcar Named Desire,1951,125 min.,Elia Kazan,Vivien Leigh,Based-on-Theatre,Drama
To Have and Have Not,1944,100 min.,Howard Hawks,Walter Brennan,Based-on-20th-Century-Literature,Drama
Who Framed Roger Rabbit,1988,104 min.,Robert Zemeckis,Bob Hoskins,Animation,Comedy
The Conformist,1970,107 min.,Bernardo Bertolucci,Jean-Louis Trintignant,Drama,Foreign Language Film
Arrival,2016,116 min.,Denis Villeneuve,Amy Adams,Alien Invasion Films,Based-on-20th-Century-Literature
The Cabinet of Dr. Caligari,1920,72 min.,Robert Wiene,Werner Krauss,Costume Horror,German Expressionist Film
Wait Until Dark,1967,108 min.,Terence Young,Audrey Hepburn,Based-on-Theatre,Crime Drama
28 Days Later...,2002,113 min.,Danny Boyle,Megan Burns,Dystopian Film,Horror
To Catch a Thief,1955,106 min.,Alfred Hitchcock,Cary Grant,Based-on-20th-Century-Literature,Mystery
Night of the Living Dead,1968,96 min.,George A. Romero,Duane Jones,Apocalyptic Film,Horror
The Wolf of Wall Street,2013,180 min.,Martin Scorsese,Leonardo DiCaprio,Based-on-21st-Century-Literature,Based-on-a-True-Story
Z,1969,127 min.,Costa-Gavras,Yves Montand,Crime Thriller,Crime
In Bruges,2008,107 min.,Martin McDonagh,Ralph Fiennes,Black Comedy,Buddy Film
The Ox-Bow Incident,1943,75 min.,William A. Wellman,Henry Fonda,Message Movie,Western
Moon,2009,97 min.,Duncan Jones,Sam Rockwell,Drama,Psychological Sci-Fi
Ex Machina,2015,108 min.,Alex Garland,Domhnall Gleeson,Cyborg / Android / Robot,Psychological Sci-Fi
Ordet,1955,126 min.,Carl Theodor Dreyer,Henrik Malberg,Based-on-Theatre,Drama
Get Out,2017,103 min.,Jordan Peele,Daniel Kaluuya,Horror,Psychological Horror
The Lost Weekend,1945,101 min.,Billy Wilder,Ray Milland,Addiction Drama,Drama
Dirty Harry,1971,102 min.,Don Siegel,Reni Santoni,Action Thriller,Action
Elevator to the Gallows,1958,88 min.,Louis Malle,Jeanne Moreau,Crime,Foreign Language Film
The Last Detail,1973,104 min.,Hal Ashby,Jack Nicholson,Buddy Film,Comedy Drama
Everything Everywhere All at Once,2022,132 min.,"Dan Kwan, Daniel Scheinert",Michelle Yeoh,Action Comedy,Action
The Awful Truth,1937,91 min.,Leo McCarey,Cary Grant,Comedy,Screwball Comedy
V for Vendetta,2006,132 min.,James McTeigue,Natalie Portman,Action,Action Thriller
The Invisible Man,1933,71 min.,James Whale,Claude Rains,Based-on-19th-Century-Literature,Horror
The African Queen,1951,105 min.,John Huston,Humphrey Bogart,Adventure Drama,Adventure
Blue Velvet,1986,120 min.,David Lynch,Isabella Rossellini,Americana,Crime Thriller
Last Year at Marienbad,1961,94 min.,Alain Resnais,Delphine Seyrig,Avant-garde / Experimental,Drama
Mildred Pierce,1945,111 min.,Michael Curtiz,Joan Crawford,Crime Drama,Crime
The Dark Knight Rises,2012,164 min.,Christopher Nolan,Christian Bale,Action Thriller,Action
The Road Warrior,1981,95 min.,George Miller,Mel Gibson,Action Thriller,Action
Toy Story 3,2010,102 min.,Lee Unkrich,Tim Allen,Adventure Comedy,Adventure
Bad Day at Black Rock,1955,81 min.,John Sturges,Spencer Tracy,Mystery,Psychological Thriller
True Romance,1993,121 min.,Tony Scott,Christian Slater,Crime Thriller,Crime
Stray Dog,1949,122 min.,Akira Kurosawa,Toshirô Mifune,Drama,Film Noir
The Discreet Charm of the Bourgeoisie,1972,102 min.,Luis Buñuel,Fernando Rey,Avant-garde / Experimental,Black Comedy
The Nightmare Before Christmas,1993,76 min.,Henry Selick,Chris Sarandon,Animated Musical,Animation
The Dirty Dozen,1967,145 min.,Robert Aldrich,Charles Bronson,Adventure,Ensemble Film
Men in Black,1997,98 min.,Barry Sonnenfeld,Tommy Lee Jones,Action Comedy,Action
Belle de jour,1967,101 min.,Luis Buñuel,Catherine Deneuve,Drama,Erotic Drama
Almost Famous,2000,162 min.,Cameron Crowe,Patrick Fugit,Comedy Drama,Coming-of-Age
Logan,2017,135 min.,James Mangold,Hugh Jackman,Action,Based-on-Comics
Tombstone,1993,134 min.,George P. Cosmatos,Kurt Russell,Revisionist Western,Western
The Magnificent Ambersons,1942,88 min.,Orson Welles,Joseph Cotten,Drama,Family Drama
Pather Panchali,1955,122 min.,Satyajit Ray,Kanu Bannerjee,Based-on-20th-Century-Literature,Drama
Perfect Blue,1997,81 min.,Satoshi Kon,Junko Iwao,Animation,Anime
Akira,1988,124 min.,Katsuhiro Ôtomo,Mitsuo Iwata,Action,Animation
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min.,Gore Verbinski,Johnny Depp,Adventure Comedy,Adventure
Being John Malkovich,1999,112 min.,Spike Jonze,John Cusack,Comedy,Fantasy Comedy
High Plains Drifter,1973,105 min.,Clint Eastwood,Clint Eastwood,Outlaw,Revenge Film
Boogie Nights,1997,156 min.,Paul Thomas Anderson,Mark Wahlberg,Comedy Drama,Drama
Total Recall,1990,113 min.,Paul Verhoeven,Arnold Schwarzenegger,Action Thriller,Action
Cleo from 5 to 7,1962,90 min.,Agnès Varda,Dominique Davray,Comedy,Drama
Jules and Jim,1962,105 min.,François Truffaut,Jeanne Moreau,Costume Romance,Drama
A Separation,2011,123 min.,Asghar Farhadi,Peyman Maadi,Drama,Ensemble Film
What Ever Happened to Baby Jane?,1962,134 min.,Robert Aldrich,Bette Davis,Drama,Gothic Film
All That Jazz,1979,123 min.,Bob Fosse,Roy Scheider,Drama,Fantasy
Your Name,2016,106 min.,Makoto Shinkai,Ryunosuke Kamiki,Animation,Anime
Raising Arizona,1987,94 min.,Joel & Ethan Coen,Nicolas Cage,Comedy,Crime Comedy
Thief,1981,122 min.,Michael Mann,Tuesday Weld,Based-on-20th-Century-Literature,Caper
Captain America: The Winter Soldier,2014,136 min.,"Anthony Russo, Joe Russo",Chris Evans,Action,Action Thriller
Videodrome,1983,89 min.,David Cronenberg,James Woods,Body Horror,Cyberpunk / Tech Noir
Midnight Cowboy,1969,113 min.,John Schlesinger,Dustin Hoffman,Buddy Film,Drama
Moonrise Kingdom,2012,94 min.,Wes Anderson,Bruce Willis,Childhood Drama,Comedy Drama
Avengers: Endgame,2019,183 min.,"Anthony Russo, Joe Russo",Robert Downey Jr.,Action,Adventure
Serenity,2005,119 min.,Joss Whedon,Nathan Fillion,Action,Based-on-Television
Patton,1970,172 min.,Franklin J. Schaffner,George C. Scott,Based-on-20th-Century-Literature,Based-on-a-True-Story
Marty,1955,91 min.,Delbert Mann,Ernest Borgnine,Drama,Romance
Kiki's Delivery Service,1989,103 min.,Hayao Miyazaki,Minami Takayama,Adventure,Animation
Requiem for a Dream,2000,102 min.,Darren Aronofsky,Ellen Burstyn,Addiction Drama,Based-on-20th-Century-Literature
The Man Who Would Be King,1975,129 min.,John Huston,Michael Caine,Adventure,Based-on-19th-Century-Literature
All Quiet on the Western Front,1930,130 min.,Lewis Milestone,Raymond Smith,Action,Anti-War Film
Fail-Safe,1964,112 min.,Sidney Lumet,Dan O'Herlihy,Disaster Film,Drama
"Rome, Open City",1945,100 min.,Roberto Rossellini,Aldo Fabrizi,Drama,Foreign Language Film
Band of Outsiders,1964,95 min.,Jean-Luc Godard,Anna Karina,Crime Drama,Crime
Sin City,2005,124 min.,"Frank Miller, Robert Rodriguez, Quentin Tarantino",Bruce Willis,Action Thriller,Action
The Lady from Shanghai,1947,87 min.,Orson Welles,Everett Sloane,Based-on-20th-Century-Literature,Crime
Hud,1963,112 min.,Martin Ritt,Paul Newman,Americana,Drama
Cinema Paradiso,1988,155 min.,Giuseppe Tornatore,Philippe Noiret,Coming-of-Age,Drama
They Live,1988,93 min.,John Carpenter,Roddy Piper,Action,Alien Invasion Films
The Producers,1968,88 min.,Mel Brooks,Zero Mostel,Comedy,Farce
Before Midnight,2013,108 min.,Richard Linklater,Ethan Hawke,Drama,Marriage Drama
Goldfinger,1964,110 min.,Guy Hamilton,Sean Connery,Action Thriller,Action
The Asphalt Jungle,1950,112 min.,John Huston,Louis Calhern,Caper,Crime Thriller
Kiss Me Deadly,1955,104 min.,Robert Aldrich,Ralph Meeker,Detective Film,Femme Fatale
The Purple Rose of Cairo,1985,82 min.,Woody Allen,Mia Farrow,Comedy,Fantasy Comedy
The Circus,1928,71 min.,Charles Chaplin,George Davis,Adventure,Romance
Freaks,1932,64 min.,Tod Browning,Wallace Ford,Drama,Horror
Beauty and the Beast,1946,96 min.,Jean Cocteau,Jean Marais,Fairy Tales and Legends,Fantasy
Big,1988,104 min.,Penny Marshall,Robert Loggia,Comedy,Coming-of-Age
The Bourne Ultimatum,2007,115 min.,Paul Greengrass,Matt Damon,Action Thriller,Action
L'avventura,1960,141 min.,Michelangelo Antonioni,Gabriele Ferzetti,Adventure Drama,Drama
The Hunt,2012,106 min.,Thomas Vinterberg,Mads Mikkelsen,Drama,Foreign Language Film
Pierrot le fou,1965,110 min.,Jean-Luc Godard,Jean-Paul Belmondo,Avant-garde / Experimental,Drama
The Bourne Supremacy,2004,108 min.,Paul Greengrass,Matt Damon,Action Thriller,Action
Enter the Dragon,1973,110 min.,Robert Clouse,Bruce Lee,Action Thriller,Action
My Life to Live,1962,85 min.,Jean-Luc Godard,Anna Karina,Avant-garde / Experimental,Drama
Spider-Man,2002,121 min.,Sam Raimi,Tobey Maguire,Action,Based-on-Comics
Prisoners,2013,146 min.,Denis Villeneuve,Hugh Jackman,Crime,Crime Drama
After Hours,1985,97 min.,Martin Scorsese,Griffin Dunne,Black Comedy,Comedy
Five Easy Pieces,1970,98 min.,Bob Rafelson,Jack Nicholson,Drama,Family Drama
Holiday,1938,95 min.,George Cukor,Katharine Hepburn,Based-on-Theatre,Comedy
A Place in the Sun,1951,112 min.,George Stevens,Montgomery Clift,Drama,Psychological Drama
The Wrestler,2008,111 min.,Darren Aronofsky,Mark Margolis,Drama,Psychological Drama
The Birds,1963,119 min.,Alfred Hitchcock,Tippi Hedren,Horror,Natural Horror
Deep Red,1975,126 min.,Dario Argento,David Hemmings,Foreign Language Film,Giallo
Man with a Movie Camera,1929,68 min.,Dziga Vertov,Mikhail Kaufman,Avant-garde / Experimental,City Symphony film
The Evil Dead,1981,85 min.,Sam Raimi,Bruce Campbell,Haunted House Film,Horror
"Lock, Stock and Two Smoking Barrels",1998,107 min.,Guy Ritchie,Jason Flemyng,Buddy Film,Caper
East of Eden,1955,115 min.,Elia Kazan,Julie Harris,Americana,Drama
The Phantom Carriage,1921,93 min.,Victor Sjöström,Victor Sjostrom,Drama,Fairy Tales and Legends
Scott Pilgrim vs. the World,2010,111 min.,Edgar Wright,Michael Cera,Action Comedy,Action
Superbad,2007,113 min.,Greg Mottola,Jonah Hill,Buddy Film,Comedy
La La Land,2016,128 min.,Damien Chazelle,Emma Stone,Drama,Musical Romance
Black Swan,2010,103 min.,Darren Aronofsky,Natalie Portman,Dance Film,Drama
Hiroshima mon amour,1959,90 min.,Alain Resnais,Emmanuelle Riva,Anti-War Film,Drama
The Cameraman,1928,75 min.,Edward Sedgwick,Buster Keaton,Comedy,Romance
Spaceballs,1987,96 min.,Mel Brooks,Rick Moranis,Absurd Comedy,Comedy
F for Fake,1973,85 min.,Orson Welles,Joseph Cotten,Avant-garde / Experimental,Biography
Ninotchka,1939,110 min.,Ernst Lubitsch,Greta Garbo,Comedy,Romance
Through a Glass Darkly,1961,89 min.,Ingmar Bergman,Harriet Andersson,Drama,Family Drama
Minority Report,2002,145 min.,Steven Spielberg,Tom Cruise,Action,Based-on-20th-Century-Literature
Big Trouble in Little China,1986,99 min.,John Carpenter,Kurt Russell,Action,Action Comedy
Animal Crackers,1930,97 min.,Victor Heerman,Harpo Marx,Absurd Comedy,Comedy
The Verdict,1982,129 min.,Sidney Lumet,Paul Newman,Courtroom Drama,Drama
Serpico,1973,130 min.,Sidney Lumet,Al Pacino,Based-on-a-True-Story,Biopic
Knives Out,2019,130 min.,Rian Johnson,Daniel Craig,Comedy Thriller,Comedy
Au Hasard Balthazar,1966,95 min.,Robert Bresson,Anne Wiazemsky,Animal Picture,Drama
12 Years a Slave,2013,133 min.,Steve McQueen,Chiwetel Ejiofor,Based-on-19th-Century-Literature,Based-on-a-True-Story
Rushmore,1998,93 min.,Wes Anderson,Bill Murray,Comedy Drama,Coming-of-Age
Harry Potter and the Prisoner of Azkaban,2004,141 min.,Alfonso Cuarón,Daniel Radcliffe,Adventure,Family-Oriented Adventure
The Right Stuff,1983,193 min.,Philip Kaufman,Sam Shepard,Adventure Drama,Adventure
Inside Llewyn Davis,2013,105 min.,Joel & Ethan Coen,Oscar Isaac,Drama,Period Film
Kagemusha,1980,162 min.,Akira Kurosawa,Tatsuya Nakadai,Based-on-a-True-Story,Combat Films
My Darling Clementine,1946,97 min.,John Ford,Henry Fonda,Drama,Traditional Western
The Warriors,1979,92 min.,Walter Hill,Michael Beck,Action,Action Thriller
Day for Night,1973,115 min.,François Truffaut,Jacqueline Bisset,Comedy Drama,Drama
Straw Dogs,1971,118 min.,Sam Peckinpah,Dustin Hoffman,Drama,Home Invasion Film
Amarcord,1973,123 min.,Federico Fellini,Bruno Zanin,Comedy Drama,Coming-of-Age
Gilda,1946,110 min.,Charles Vidor,Joseph Calleia,Drama,Femme Fatale
Night and Fog,1956,32 min.,Alain Resnais,Michel Bouquet,Documentary,Essay Film
Don't Look Now,1973,110 min.,Nicolas Roeg,Julie Christie,Based-on-20th-Century-Literature,Horror
Once Upon a Time ...in Hollywood,2019,161 min.,Quentin Tarantino,Leonardo DiCaprio,Black Comedy,Comedy Drama
Cat on a Hot Tin Roof,1958,108 min.,Richard Brooks,Paul Newman,Based-on-Theatre,Drama
High Fidelity,2000,113 min.,Stephen Frears,John Cusack,Comedy Drama,Comedy of Manners
Hard Boiled,1992,126 min.,John Woo,Chow Yun-Fat,Action Thriller,Action
"Steamboat Bill, Jr.",1928,71 min.,Charles Reisner,Buster Keaton,Action Comedy,Comedy
Anchorman: The Legend of Ron Burgundy,2004,94 min.,Adam McKay,Will Ferrell,Comedy,Media Satire
A Hard Day's Night,1964,87 min.,Richard Lester,John Lennon,Absurd Comedy,British New Wave
District 9,2009,112 min.,Neill Blomkamp,Vanessa Haywood,Action,Psychological Sci-Fi
Inherit the Wind,1960,128 min.,Stanley Kramer,Fredric March,Based-on-a-True-Story,Based-on-Theatre
X-Men,2000,104 min.,Bryan Singer,Hugh Jackman,Action,Based-on-Comics
Animal House,1978,109 min.,John Landis,John Belushi,Absurd Comedy,Comedy
Sabrina,1954,113 min.,Billy Wilder,Humphrey Bogart,Comedy Drama,Romance
Lethal Weapon,1987,117 min.,Richard Donner,Mel Gibson,Action Thriller,Action
Nightcrawler,2014,117 min.,Dan Gilroy,Jake Gyllenhaal,Crime Thriller,Crime
Once Upon a Time in America,1984,229 min.,Sergio Leone,Robert De Niro,Based-on-20th-Century-Literature,Crime Drama
Love and Death,1975,85 min.,Woody Allen,Diane Keaton,Comedy of Errors,Comedy
The Hangover,2009,96 min.,Todd Phillips,Ed Helms,Absurd Comedy,Buddy Film
Zombieland,2009,80 min.,Ruben Fleischer,Jesse Eisenberg,Comedy,Girls-with-Guns
Captain America: Civil War,2016,147 min.,"Anthony Russo, Joe Russo",Chris Evans,Action Thriller,Action
Dawn of the Dead,1978,126 min.,George A. Romero,David Emge,Horror,Monster Film
Marathon Man,1976,125 min.,John Schlesinger,Dustin Hoffman,New Hollywood,Paranoid Thriller
Edge of Tomorrow,2014,113 min.,Doug Liman,Tom Cruise,Action,Alien Invasion Films
Breakfast at Tiffany's,1961,115 min.,Blake Edwards,George Peppard,Comedy Drama,Comedy of Manners
Oppenheimer,2023,180 min.,Christopher Nolan,Cillian Murphy,Based-on-21st-Century-Literature,Based-on-a-True-Story
The Lion in Winter,1968,134 min.,Anthony Harvey,Anthony Hopkins,Based-on-Theatre,Drama
Lost in Translation,2003,102 min.,Sofia Coppola,Bill Murray,Comedy Drama,Comedy of Manners
The Day the Earth Stood Still,1951,92 min.,Robert Wise,Michael Rennie,Alien Invasion Films,Apocalyptic Film
Invasion of the Body Snatchers,1956,80 min.,Don Siegel,Kevin McCarthy,Alien Invasion Films,Apocalyptic Film
Die Hard With a Vengeance,1995,131 min.,John McTiernan,Bruce Willis,Action Thriller,Action
From Here to Eternity,1953,118 min.,Fred Zinnemann,Burt Lancaster,Based-on-20th-Century-Literature,Drama
Lolita,1962,152 min.,Stanley Kubrick,James Mason,Based-on-20th-Century-Literature,Black Comedy
Thor: Ragnarok,2017,130 min.,Taika Waititi,Chris Hemsworth,Action,Adventure
Dazed and Confused,1993,103 min.,Richard Linklater,Jason London,Comedy Drama,Coming-of-Age
Spider-Man: Across the Spider-Verse,2023,140 min.,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",Shameik Moore,Action,Adventure
Ratatouille,2007,111 min.,Brad Bird,Peter O'Toole,Animation,Comedy
La jetée,1962,28 min.,Chris Marker,Jean Négroni,Avant-garde / Experimental,Foreign Language Film
Gone Girl,2014,145 min.,David Fincher,Ben Affleck,Based-on-21st-Century-Literature,Drama
Au Revoir Les Enfants,1987,104 min.,Louis Malle,Gaspard Manesse,Childhood Drama,Coming-of-Age
Midnight Run,1988,126 min.,Martin Brest,Robert De Niro,Action Comedy,Action
3 Women,1977,124 min.,Robert Altman,Sissy Spacek,Drama,Feminist Film
The Lives of Others,2006,137 min.,Florian Henckel von Donnersmarck,Martina Gedeck,Drama,Foreign Language Film
The Young Girls of Rochefort,1967,128 min.,Jacques Demy,Catherine Deneuve,Comedy,Foreign Language Film
Possession,1981,123 min.,Andrzej Zulawski,Isabelle Adjani,Avant-garde / Experimental,Drama
Three Days of the Condor,1975,117 min.,Sydney Pollack,Robert Redford,New Hollywood,Paranoid Thriller
The Decalogue,1989,550 min.,Krzysztof Kieslowski,Artur Barcis,Anthology Film,Drama
Eraserhead,1977,89 min.,David Lynch,Jack Nance,Avant-garde / Experimental,Body Horror
Picnic at Hanging Rock,1975,115 min.,Peter Weir,Jenny Lovell,Australian New Wave,Based-on-20th-Century-Literature
Kwaidan,1964,183 min.,Masaki Kobayashi,Rentaro Mikuni,Anthology Film,Based-on-20th-Century-Literature
Gangs of New York,2002,167 min.,Martin Scorsese,Leonardo DiCaprio,Based-on-20th-Century-Literature,Crime Drama
Brick,2005,110 min.,Rian Johnson,Joseph Gordon-Levitt,Crime Drama,Crime
