Title,Release Year,Duration,Director,Main Cast,Genre 1,Genre 2
Vertigo,1958,129 min.,Alfred Hitchcock,James Stewart,Based-on-20th-Century-Literature,Femme Fatale
Forrest Gump,1994,142 min.,Robert Zemeckis,Tom Hanks,Americana,Comedy Drama
Jaws,1975,124 min.,Steven Spielberg,Roy Scheider,Adventure,Based-on-20th-Century-Literature
Chinatown,1974,131 min.,Roman Polanski,Faye Dunaway,Detective Film,Femme Fatale
Le samouraï,1967,105 min.,Jean-Pierre Melville,Alain Delon,Crime Thriller,Crime
Toy Story,1995,81 min.,John Lasseter,Don Rickles,Adventure,Animation
Bicycle Thieves,1948,93 min.,Vittorio De Sica,Lamberto Maggiorani,Coming-of-Age,Crime Drama
The Big Lebowski,1998,117 min.,Joel & Ethan Coen,Julianne Moore,Buddy Film,Comedy
A Clockwork Orange,1971,136 min.,Stanley Kubrick,Malcolm McDowell,Based-on-20th-Century-Literature,Dystopian Film
Come and See,1985,140 min.,Elem Klimov,Aleksei Kravchenko,Anti-War Film,Based-on-20th-Century-Literature
The Lord of the Rings: The Two Towers,2002,179 min.,Peter Jackson,Elijah Wood,Adventure,Based-on-20th-Century-Literature
Memento,2000,113 min.,Christopher Nolan,Guy Pearce,Crime Thriller,Crime
Ferris Bueller's Day Off,1986,103 min.,John Hughes,Matthew Broderick,Comedy,Coming-of-Age
The Treasure of the Sierra Madre,1948,126 min.,John Huston,Humphrey Bogart,Adventure Drama,Adventure
Tokyo Story,1953,136 min.,Yasujirô Ozu,Chishu Ryu,Drama,Family Drama
The General,1926,103 min.,"Clyde Bruckman, Buster Keaton",Buster Keaton,Action Comedy,Action
Full Metal Jacket,1987,116 min.,Stanley Kubrick,Matthew Modine,Anti-War Film,Based-on-20th-Century-Literature
The Terminator,1984,108 min.,James Cameron,Arnold Schwarzenegger,Action Thriller,Action
Fargo,1996,98 min.,Joel & Ethan Coen,Frances McDormand,Americana,Black Comedy
The 400 Blows,1959,99 min.,François Truffaut,Jean-Pierre Léaud,Childhood Drama,Coming-of-Age
Inception,2010,148 min.,Christopher Nolan,Leonardo DiCaprio,Action Thriller,Action
It Happened One Night,1934,105 min.,Frank Capra,Clark Gable,Comedy,Newspaper Film
Notorious,1946,101 min.,Alfred Hitchcock,Cary Grant,Film Noir,Mystery
Wild Strawberries,1957,91 min.,Ingmar Bergman,Victor Sjostrom,Drama,Foreign Language Film
Sunset Blvd.,1950,110 min.,Billy Wilder,William Holden,Drama,Femme Fatale
The Seventh Seal,1957,96 min.,Ingmar Bergman,Max von Sydow,Drama,Fantasy
The Departed,2006,151 min.,Martin Scorsese,Leonardo DiCaprio,Crime Drama,Crime Thriller
Ace in the Hole,1951,111 min.,Billy Wilder,Kirk Douglas,Black Comedy,Comedy Drama
Modern Times,1936,87 min.,Charles Chaplin,Charles Chaplin,Comedy,Satire
2001: A Space Odyssey,1968,141 min.,Stanley Kubrick,Keir Dullea,Adventure,Based-on-20th-Century-Literature
Strangers on a Train,1951,101 min.,Alfred Hitchcock,Farley Granger,Based-on-20th-Century-Literature,Crime Thriller
Grand Illusion,1937,114 min.,Jean Renoir,Jean Gabin,Anti-War Film,Drama
Batman Begins,2005,140 min.,Christopher Nolan,Christian Bale,Action,Action Thriller
The Professional,1994,110 min.,Luc Besson,Jean Reno,Action Thriller,Action
On the Waterfront,1954,108 min.,Elia Kazan,Marlon Brando,Crime Drama,Crime
Stalker,1979,163 min.,Andrei Tarkovsky,Aleksandr Kaidanovsky,Adventure Drama,Adventure
Rocky,1976,119 min.,John G. Avildsen,Sylvester Stallone,Drama,New Hollywood
8½,1963,138 min.,Federico Fellini,Marcello Mastroianni,Comedy Drama,Drama
In a Lonely Place,1950,94 min.,Nicholas Ray,Humphrey Bogart,Crime Drama,Crime
