Value of n,Insertion sort (seconds),Merge sort (seconds),Hybrid Merge sort (seconds),Selection sort (seconds),Bubble sort (seconds)
10,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0010213851928710938
